,name,company,year,Price,kms_driven,fuel_type
79,MahindraQuanto,Mahindra,2013,375000,20000,Diesel
80,FordEcoSport,Ford,2017,489999,39000,Petrol
81,HondaBrio,Honda,2012,224999,30000,Petrol
82,VolkswagenVento,Volkswagen,2019,1200000,3600,Diesel
83,Hyundaii20,Hyundai,2009,195000,32000,Petrol
84,ToyotaCorolla,Toyota,2010,351000,38000,Diesel
85,HyundaiVerna,Hyundai,2008,160000,45000,Petrol
86,ToyotaCorolla,Toyota,2009,240000,35000,Petrol
87,HondaCity,Honda,2005,90000,50000,Petrol
88,HyundaiElite,Hyundai,2014,415000,32000,Petrol
89,SkodaFabia,Skoda,2011,155000,45863,Diesel
90,BMW3,BMW,2011,600000,60500,Petrol
91,MarutiSuzuki,Maruti,2011,189500,12500,Petrol
92,ToyotaEtios,Toyota,2013,350000,60000,Diesel
93,FordFigo,Ford,2012,210000,35000,Diesel
94,MarutiSuzuki,Maruti,2014,390000,35000,Petrol
95,ChevroletBeat,Chevrolet,2012,135000,45000,Diesel
96,BMW7,BMW,2009,1600000,35000,Petrol
97,MahindraXUV500,Mahindra,2013,701000,38000,Diesel
98,Hyundaii10,Hyundai,2014,265000,18000,Petrol
99,HyundaiVerna,Hyundai,2015,525000,35000,Diesel
100,MarutiSuzuki,Maruti,2013,372000,13349,Petrol
101,MarutiSuzuki,Maruti,2016,635000,29000,Petrol
102,FordEcoSport,Ford,2014,550000,44000,Diesel
103,MarutiSuzuki,Maruti,2016,575000,29000,Petrol
104,MarutiSuzuki,Maruti,2013,485000,42000,Diesel
105,MarutiSuzuki,Maruti,2012,155000,14000,Petrol
106,HyundaiGrand,Hyundai,2014,345000,49000,Diesel
107,HondaAmaze,Honda,2014,325000,42000,Petrol
108,Hyundaii20,Hyundai,2012,329500,36200,Diesel
109,FordFigo,Ford,2014,195000,50000,Diesel
110,MarutiSuzuki,Maruti,2015,251111,55000,Petrol
111,MarutiSuzuki,Maruti,2014,569999,45000,Petrol
112,MarutiSuzuki,Maruti,2007,69999,51000,Petrol
113,MarutiSuzuki,Maruti,2014,299999,19000,Petrol
114,MarutiSuzuki,Maruti,2009,220000,46000,Petrol
115,MarutiSuzuki,Maruti,2013,399999,33000,Diesel
116,MarutiSuzuki,Maruti,2013,372000,13349,Petrol
117,MarutiSuzuki,Maruti,2015,450000,104000,Diesel
118,ToyotaEtios,Toyota,2014,270000,55000,Petrol
119,Hyundaii20,Hyundai,2011,350000,33333,Diesel
120,ChevroletSpark,Chevrolet,2012,158400,33600,Petrol
121,MarutiSuzuki,Maruti,2017,350000,5600,Petrol
122,NissanMicra,Nissan,2011,179000,41000,Petrol
123,MarutiSuzuki,Maruti,2007,125000,70000,Petrol
124,MarutiSuzuki,Maruti,2018,200000,7500,Petrol
